Cre Account,Cre Name
AKAROAS,Akaroa Shuttle
AKCITY,AUCKLAND CITY COUNCIL
AKCITY 2,AUCKLAND CITY COUNCIL
AKCITY 3,AUCKLAND COUNCIL
AKCITYINF,AUCKLAND CITY COUNCIL(INF)
AKCITYINF,AUCKLAND TRANSPORT PARKING
AKDIST,Auckland District Law Society
AKFLATDECK,AUCKLAND FLAT DECK  & CRANE
AKI,AUCKLAND INVESTIGATIONS LTD
AKLAUTO,Auckland Auto Collection Ltd
AKLEGAL,Auckland Legal Services Ltd
AKONELECT,AKON ELECTRICAL ENGINEERING LT
AKRATESAK,AUCKLAND COUNCIL
AKRATESALB,AUCKLAND COUNCIL ALBANY
AKRATESET,Auckland Council East Tamaki
AKRATESMTW,AUCKLAND COUNCIL MT WELLINGTON
AKRATESNS,AUCKLAND COUNCIL NORTH SHORE
AKRATESOH,AUCKLAND COUNCIL
AKRATESPK,AUCKLAND COUNCIL PAPAKURA
AKRATESPN,Auckland Council Penrose
AKRATESSL,AUCKLAND COUNCIL SILVERDALE
AKROADMARK,AUCKLAND ROADMARKERS LIMITED
AKROOF,Auckland Roof & Building Maint
AKTARP,AUCKLAND TARP HIRE
AKWIDE,Auckland Wide Electrical Ltd
ALANATK,ALAN ATKINSON
ALARMCENT,The Alarm Centre MONITORING
ALARMCENT,The Alarm Centre Southland Ltd
ALARMCENTI,THE ALARM CENTRE INSTALLATION
ALARMN,Alarm New Zealand
ALARMSYS,Alarm Systems Queenstown
ALARMWA,Alarm Watch Ltd
ALARMWA,Alarm Watch Monitoring
ALASKON,ALASKON AIRA LTD
ALBYRNE,A L Byrne & Waterways Ltd
ALBYRNE,A.L.BYRNE & WATERWAYS LTD
ALCO,ALCO PRODUCTS
ALERTGLA,Alert Glass Limited
ALEXANDER,Alexander Manufacturing Ltd
ALEXANDERS,Alexanders Marketing Limited
ALEXANDRAT,ALEXANDRA TYRES LTD
ALFAST,ALLFAST SOLUTIONS(WAIKATO)LTD
ALIGENT,Day Consulting Pty Ltd
ALISTERB,ALISTER BEVIN PRODUCTS LTD
ALIVEELECT,Alive Electrical Ltd
ALIVEELECT,ALIVE ELECTRICAL LTYD
ALKRISANT,ALKRIS ANTENNAS
ALKRISS,ALKRIS SIGNAL SOLUTIONS LTD
ALL,All Purpose Engineering Ltd
ALL LAY,ALL  LAY CARPETS AND DRAPES
ALLANS,Allan's Sheetmetal & Engineer
ALLANSSUP,Allans Superheat Limited
ALLBRITE,ALL BRITE INDUSTIRES LTD
ALLBRITE,All Brite Industries Ltd
ALLCLEAR,ALL CLEAR WINDOWS CLEANERS
ALLCO,Allco Agencies Ltd
ALLENCH,C H ALLEN LTD
ALLEND,Allendale Electrical Ltd
ALLFASTEN,ALLIANCE WORLDWIDE
ALLFLOW,ALLFLOW EQUIPMENT
ALLGUARD,All Guard Safety Equipment
ALLIANCEC,Alliance Catering
ALLIANCEW,Alliance Wholesale Ltd
ALLIED P,ALLIED PRESS
ALLIEDAL,ALLIED ALARMS LTD
ALLIEDC,ALLIED COPIERS & PRINTERS
ALLIEDFA,Allied Fastenings Ltd
ALLIEDFAST,Allied Fastenings Ltd
ALLIEDL,Allied Locks Limited
ALLIEDP,ALLIED PETROLEUM LTD
ALLIEDT,Allied Telesyn NZ Ltd
ALLIEDWHAM,ALLIED WORKFORCE HAM
ALLIEDWORK,Allied Workforce
ALLOYS,ALLOYS INTERNATIONAL
ALLPROOF,ALLPROOF INDUSTRIES NZ LTD
ALLPUMPSLT,ALL PUMPS LTD
ALLPUMPSLT,PASLR
ALLRIG,Allrig Ltd
ALLRIGHT,ALLRIGHT LADDERS NZ
ALLRNDHV,All Round HVAC Supplies Ltd
ALLSALES,Allsales Agencies Ltd
ALLSALESNZ,PD Sales Ltd
ALLSALESSI,Allsales (NZ) Ltd
ALLSUB,All Suburbs Glass
ALLUMINA,Allumination Lighthouse Ltd
ALMOR,ALMOR MANUFACTURING NZ LTD
ALPECO,Alpeco Ltd
ALPHA,Alpha Bright Lights Ltd
ALPHAEL,ALPHA ELECTRICAL SERVICES
ALPHAEN,Alpha Engraving
ALPHALI,ALPHA LIGHTING
ALPHAPUB,ALPHA PUBLISHING LTD
ALPHATECHS,ALPHATECH SYSTEMS LTD
ALPHATRON,AEP  Pacific Ltd
ALPHATRON,Alphatron Pacific Ltd
ALPINA,Alpina Limited
ALPINEAUT,Alpine Auto Centre
ALPINECOUR,ALPINE COURIERS
ALPINEFR,Alpine Fresh
ALRON,ALRON ENTERPRISES LTD
ALSCO,Alsco Canterbury
ALSCOAK,ALSCO AUCKLAND
ALSCOCAN,Alsco Canterbury
ALSCOCTBY,Alsco Canterbury
ALSCODN,ALSCO DUNEDIN
ALSCOIVC,ALSCO NZ INVERCARGILL
ALSCOROT,Alsco Rotorua
ALSCOWK,ALSCO WAIKATO
ALTOPACK,Alto Packaging Limited
ALTOW,ALTOW LTD
ALTUSNZ,Altus NZ (Fanalco) Ltd
ALTUSNZ,Altus NZ Limited
ALVE,H Alve
ALWAYSGARD,ALWAYS GARDENING LTD
AMALGAMA,Amalgamated Hardware Merchants
AMARE,AMARE SAFETY
AMARKDIR,A Mark Direct Ltd
AMARKP,A Mark Publishing Co NZ Ltd
AMARKP,A-MARK PUBLISHING CO NZ LTD
AMBERT,AMBER TECHNOLOGY (NZ) LTD
AMBIENCE,AVL t/a Ambiance Systems
AMCARCLUB,AMERICAN MUSCLE CAR CLUB
AMERICAN,American Workwear Ltd
AMNEW,A.M New Technologies Ltd
AMONEXP,AMON EXPRESS
AMP,AMP
AMP,AMP GENERAL INSURANCE
AMPACI,Ampac Advanced Warning System
AMPACI,AMPAC INDUSTRIES LTD
AMPACNZ,AMPAC NZ LIMITED
AMPCONTPTY,Ampcontrol CSM Pty Ltd
AMPCONTROL,AMPCONTROL NZ LIMITED
AMPEDELECT,AMPED ELECTRIAL LTD
AMPLIFE,AMP Life Ltd
AMPM,AMPM MARKETING LTD
AMPY, Landis+Gyr
AMPY,Ampy Email (NZ) Ltd
AMPY,Email Electronics
AMPY,Landis+Gyr (Ampy)
AMSGROUP,AMS GROUP LTD
AMSGROUP,AXIOM TRAINING
ANCHOR,Anchor Wire Limited
ANCIENT,ANCIENT BRITON HOTEL
ANDERPANEL,Anderson Street Panel & Paint
ANDERS,B L Anderson Trust
ANDERSO,Anderson Corporation Pty Ltd
ANDERSON,LLOYD ANDERSON ADVERTISING LTD
ANDERSOND,Anderson DE & TJ
ANDERSONLL,ANDERSON LLOYD LAWYERS
ANDERSONR,ANDERSON RETRAVISION
ANDERSONR,BRIAN ANDERSON ELECTRICAL LTD
ANDREWJ,EAGERS AUTOMOTIVE
ANDREWJ,John Andrew Ford & Mazda
ANDREWJM,AUCKLAND AUTO COLLECTION LTD
ANDREWSIM,Landseer Motor Investments
ANDREWSP,Andrews Property Service Ltd
